date,return,realized variance
2000-01-04,-0.879967419,5.27E-01
2000-01-05,-2.322108321,2.780224768
2000-01-06,-1.151719784,2.97E-01
2000-01-07,0.411665519,3.55E-01
2000-01-10,1.816252796,1.239917661
2000-01-11,1.822381166,3.677417417
2000-01-12,-1.863963068,2.955455251
2000-01-13,-6.46E-03,3.49E-01
2000-01-14,0.714081969,5.26E-01
2000-01-17,0.306142212,1.85E-01
2000-01-18,0.45487156,2.43E-01
2000-01-19,-1.318039491,5.16E-01
2000-01-20,0.909300922,3.97E-01
2000-01-21,-1.05756658,5.17E-01
2000-01-24,-0.077406874,2.44E-01
2000-01-25,-0.558406749,7.55E-01
2000-01-27,0.11688313,2.46E-01
2000-01-28,0.398194087,2.63E-01
2000-01-31,0.149021668,3.38E-01
2000-02-01,-0.329979918,4.64E-01
2000-02-02,1.121796304,6.19E-01
2000-02-03,0.272405508,5.85E-01
2000-02-04,-0.553220796,3.68E-01
2000-02-07,0.553947079,2.31E-01
2000-02-08,-0.195159469,2.54E-01
2000-02-09,0.392927814,5.96E-01
2000-02-10,1.292184025,9.81E-01
2000-02-11,-0.104165032,7.02E-01
2000-02-14,-0.933814434,1.141653461
2000-02-15,0.581738905,5.98E-01
2000-02-16,-0.335666422,1.210550104
2000-02-17,0.101638936,4.7E-01
2000-02-18,-0.821103992,3.75E-01
2000-02-21,0.147648879,9.48E-01
2000-02-22,-0.488746954,2.97E-01
2000-02-23,0.334663718,3.82E-01
2000-02-24,-0.337691478,4.94E-01
2000-02-25,0.452787338,7.26E-01
2000-02-28,-0.086553725,3.7E-01
2000-02-29,0.374310603,7E-01
2000-03-01,1.56591783,4.94E-01
2000-03-02,0.822972942,7.1E-01
2000-03-03,0.161200357,1.074020029
2000-03-06,0.204290163,6.88E-01
2000-03-07,0.552803248,6.58E-01
2000-03-08,-0.167639428,2.12E-01
2000-03-09,-0.262434542,2.67E-01
2000-03-10,-0.473949314,1.96E-01
2000-03-13,-0.231546773,2.46E-01
2000-03-14,3.14E-03,6.21E-01
2000-03-15,-0.025285249,1.61E-01
2000-03-16,-0.335892077,1.4E-01
2000-03-17,-0.727818833,2.63E-01
2000-03-20,0.806192404,3.85E-01
2000-03-21,0.37404022,5.07E-01
2000-03-22,0.727923727,5.06E-01
2000-03-23,-1.00401525,3.18E-01
2000-03-24,0.384669121,5.55E-01
2000-03-27,-0.47929095,2.42E-01
2000-03-28,0.235454598,6.93E-01
2000-03-29,-0.259684197,5.1E-01
2000-03-30,-0.832260154,1.89E-01
2000-03-31,-1.289359411,9.08E-01
2000-04-03,0.744154282,1.8E-01
2000-04-04,-0.818850632,7.25E-01
2000-04-05,-0.697972377,7.63E-01
2000-04-06,0.207069092,4.17E-01
2000-04-07,0.8802818,7.92E-01
2000-04-10,0.620210718,3.33E-01
2000-04-11,-0.943626524,8.44E-01
2000-04-12,-0.719198619,8.61E-01
2000-04-13,-1.322860019,1.076944743
2000-04-14,0.427392588,6.31E-01
2000-04-17,-3.131945381,13.05380473
2000-04-18,2.158125598,5.550612565
